,original_id,aug_id,name,description,notice_url,budget,country_name,country_code,sector,region_name,state,epublished_date,bid_opening_date,bid_submission_end_date
10,0677-2340J0901216,0677-2340J0901216,Procurement of 0677-2340J0901216 Smoked prefabricated vegetable product line technical transformation and upgrading project(1),"Shandong Zhengxin Tendering Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-28
",https://www.chinabidding.com/en/detail/256253972-BidNoticeEn.html,Time of Bid Opening (Beijing Time):2023-10-12 09:00,China,CN,Medical equipment & medicine,Region: Shandong Province,Region: Shandong Province,2023-09-28,2023-09-28,2023-10-12
11,0644-23402023F146,0644-23402023F146,"Procurement of 0644-23402023F146 Shaanxi Weiyang Power Technology Service Co.,Ltd Horizontal machining center bidding project(1)","Shanxi Xiecheng Bidding Agency Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-28
",https://www.chinabidding.com/en/detail/256253971-BidNoticeEn.html,$120,China,CN,Machining,Region: Shaanxi Province,Region: Shaanxi Province,2023-09-28,2023-09-28,2023-10-25
12,0712-234022303109,0712-234022303109,Procurement of 0712-234022303109 Small Flow Regulating Valve 16 Sets for Sinopec Qilu Petrochemical Company(1),"Sinopec International Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-28
",https://www.chinabidding.com/en/detail/256253970-BidNoticeEn.html,$40,China,CN,Machining,Region: Shandong Province,Region: Shandong Province,2023-09-28,2023-09-28,2023-10-17
13,0712-234022303101,0712-234022303101,"Procurement of 0712-234022303101 Elliptic gear flowmeter for Sinopec Qilu Petrochemical Co.,Ltd(2)","Sinopec International Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-28
",https://www.chinabidding.com/en/detail/256253969-BidNoticeEn.html,$40,China,CN,Apparatus and Meter,Region: Shandong Province,Region: Shandong Province,2023-09-28,2023-09-28,2023-10-17
14,4197-234BOEM30001/50,4197-234BOEM30001/50,Procurement of 4197-234BOEM30001/50 BOE High-end Module Project(1),"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-28
",https://www.chinabidding.com/en/detail/256253967-BidNoticeEn.html,$850,China,CN,Apparatus and Meter,Region: Sichuan Province,Region: Sichuan Province,2023-09-28,2023-09-28,2023-10-19
15,4197-234BOEM30001/49,4197-234BOEM30001/49,Procurement of 4197-234BOEM30001/49 BOE High-end Module Project(1),"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-28
",https://www.chinabidding.com/en/detail/256253968-BidNoticeEn.html,$1650,China,CN,Electronic & communications,Region: Sichuan Province,Region: Sichuan Province,2023-09-28,2023-09-28,2023-10-19
16,0730-234011020007/56,0730-234011020007/56,Procurement of 0730-234011020007/56 POL Lamination(1),"AVIC International Trade & Economic Development ., LTD entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-28
",https://www.chinabidding.com/en/detail/256253966-BidNoticeEn.html,$600,China,CN,Electronic & communications,Region: Fujian Province,Region: Fujian Province,2023-09-28,2023-09-28,2023-10-19
17,0730-234011020007/55,0730-234011020007/55,Procurement of 0730-234011020007/55 OCA Lamination(1),"AVIC International Trade & Economic Development ., LTD entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-28
",https://www.chinabidding.com/en/detail/256253965-BidNoticeEn.html,$600,China,CN,Electronic & communications,Region: Fujian Province,Region: Fujian Province,2023-09-28,2023-09-28,2023-10-19
18,0656-2340E1000201,0656-2340E1000201,Procurement of 0656-2340E1000201 Medical equipment procurement(1),"Qingdao Municipal Tendering Center entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-28
",https://www.chinabidding.com/en/detail/256253964-BidNoticeEn.html,$80,China,CN,Medical equipment & medicine,Region: Shandong Province,Region: Shandong Province,2023-09-28,2023-09-28,2023-10-19
19,0842-234GJ2300020,0842-234GJ2300020,Procurement of 0842-234GJ2300020 Nanjing Kumho Tire Equipment Procurement Project(1),"Zhongke G.. Consulting Group Co., Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on2023-09-28
",https://www.chinabidding.com/en/detail/256253963-BidNoticeEn.html,$80,China,CN,Apparatus and Meter,Region: Jiangsu Province,Region: Jiangsu Province,2023-09-28,2023-09-28,2023-10-20
